SELECT to_timestamp(ts/1000) AT TIME ZONE 'America/Sao_Paulo' AS momento,
         str_v,
         round((ts - lag(ts) OVER (ORDER BY ts))/1000.0/60, 1) AS min_desde_anterior
  FROM ts_kv
  WHERE entity_id = '68c8aee1-f143-11ef-a212-67802bff4221'   -- Motor Ligado (PG)
    AND key = 58
    AND ts >= 1779134400000 AND ts < 1779192000000           -- 18/05 17:00 → 19/05 09:00 GMT-3
  ORDER BY ts;

---

momento                |str_v       |min_desde_anterior|
2026-05-18 23:36:44.000|not_detected|               7.2|
2026-05-18 23:36:51.000|detected    |               0.1|
2026-05-18 23:44:21.000|not_detected|               7.5|
2026-05-18 23:44:29.000|detected    |               0.1|
2026-05-18 23:51:52.000|not_detected|               7.4|
2026-05-18 23:51:59.000|detected    |               0.1|
2026-05-18 23:59:43.000|not_detected|               7.7|
2026-05-19 00:00:11.000|detected    |               0.5|
2026-05-19 00:07:42.000|not_detected|               7.5|
2026-05-19 00:07:49.000|detected    |               0.1|
2026-05-19 00:15:19.000|not_detected|               7.5|
2026-05-19 00:15:27.000|detected    |               0.1|
2026-05-19 00:22:50.000|not_detected|               7.4|
2026-05-19 00:22:57.000|detected    |               0.1|
2026-05-19 00:30:21.000|not_detected|               7.4|
2026-05-19 00:30:28.000|detected    |               0.1|
2026-05-19 00:37:37.000|not_detected|               7.2|
2026-05-19 00:37:44.000|detected    |               0.1|
2026-05-19 00:45:15.000|not_detected|               7.5|
2026-05-19 00:45:22.000|detected    |               0.1|
2026-05-19 00:52:45.000|not_detected|               7.4|
2026-05-19 00:52:52.000|detected    |               0.1|
2026-05-19 01:00:23.000|not_detected|               7.5|
2026-05-19 01:00:30.000|detected    |               0.1|
2026-05-19 01:07:47.000|not_detected|               7.3|
2026-05-19 01:07:54.000|detected    |               0.1|
2026-05-19 01:14:36.000|not_detected|               6.7|
2026-05-19 01:14:43.000|detected    |               0.1|
2026-05-19 01:22:06.000|not_detected|               7.4|
2026-05-19 01:22:14.000|detected    |               0.1|
2026-05-19 01:29:37.000|not_detected|               7.4|
2026-05-19 01:29:44.000|detected    |               0.1|
2026-05-19 01:37:14.000|not_detected|               7.5|
2026-05-19 01:37:22.000|detected    |               0.1|
2026-05-19 01:44:45.000|not_detected|               7.4|
2026-05-19 01:44:52.000|detected    |               0.1|
2026-05-19 01:52:29.000|not_detected|               7.6|
2026-05-19 01:52:36.000|detected    |               0.1|
2026-05-19 02:00:00.000|not_detected|               7.4|
2026-05-19 02:00:07.000|detected    |               0.1|
2026-05-19 02:07:24.000|not_detected|               7.3|
2026-05-19 02:07:31.000|detected    |               0.1|
2026-05-19 02:14:54.000|not_detected|               7.4|
2026-05-19 02:15:01.000|detected    |               0.1|
2026-05-19 02:22:32.000|not_detected|               7.5|
2026-05-19 02:22:39.000|detected    |               0.1|
2026-05-19 02:29:49.000|not_detected|               7.2|
2026-05-19 02:29:56.000|detected    |               0.1|
2026-05-19 02:37:19.000|not_detected|               7.4|
2026-05-19 02:37:26.000|detected    |               0.1|
2026-05-19 02:44:15.000|not_detected|               6.8|
2026-05-19 02:44:50.000|detected    |               0.6|
2026-05-19 02:51:46.000|not_detected|               6.9|
2026-05-19 02:52:13.000|detected    |               0.5|
2026-05-19 02:59:09.000|not_detected|               6.9|
2026-05-19 02:59:16.000|detected    |               0.1|
2026-05-19 03:06:33.000|not_detected|               7.3|
2026-05-19 03:06:40.000|detected    |               0.1|
2026-05-19 03:13:57.000|not_detected|               7.3|
2026-05-19 03:14:04.000|detected    |               0.1|
2026-05-19 03:21:27.000|not_detected|               7.4|
2026-05-19 03:21:34.000|detected    |               0.1|
2026-05-19 03:29:05.000|not_detected|               7.5|
2026-05-19 03:29:12.000|detected    |               0.1|
2026-05-19 03:36:22.000|not_detected|               7.2|
2026-05-19 03:36:28.000|detected    |               0.1|
2026-05-19 03:43:52.000|not_detected|               7.4|
2026-05-19 03:43:59.000|detected    |               0.1|
2026-05-19 03:51:37.000|not_detected|               7.6|
2026-05-19 03:51:44.000|detected    |               0.1|
2026-05-19 03:59:07.000|not_detected|               7.4|
2026-05-19 03:59:14.000|detected    |               0.1|
2026-05-19 04:06:24.000|not_detected|               7.2|
2026-05-19 04:06:31.000|detected    |               0.1|
2026-05-19 04:14:29.000|not_detected|               8.0|
2026-05-19 04:14:36.000|detected    |               0.1|
2026-05-19 04:23:09.000|not_detected|               8.6|
2026-05-19 04:23:16.000|detected    |               0.1|
2026-05-19 04:31:21.000|not_detected|               8.1|
2026-05-19 04:31:28.000|detected    |               0.1|
2026-05-19 04:39:20.000|not_detected|               7.9|
2026-05-19 04:39:27.000|detected    |               0.1|
2026-05-19 04:47:53.000|not_detected|               8.4|
2026-05-19 04:48:00.000|detected    |               0.1|
2026-05-19 04:55:58.000|not_detected|               8.0|
2026-05-19 04:56:05.000|detected    |               0.1|
